glomerulus,African breadfruit,African mango,African nutmeg,Apple,Apricot,Avocado,Banana,Blackberry,Blueberry,Cactus fig,Currant,Fig,Galiamelon,Grape,Grapefruit,Honeymelon,Java plum,Kiwi,Mandarina,Mango,Monkey fruit,Napoleons's button,Orange,Papaya,Passionfruit,Peach,Pear,Physalis,Pineapple,Plums,Pomegranate,Raspberry,Strawberry,Watermelon
D,0,0,2,3,0,0,1,0,0,0,0,0,1,0,8,1,1,0,0,0,5,1,6,0,9,4,2,1,4,3,0,0,4,1
DA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DA3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DA4l,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DA4m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DC1,4,5,12,1,0,3,2,0,0,0,0,1,0,0,16,0,4,0,6,2,5,7,13,0,6,0,1,6,0,2,1,4,1,3
DC2,5,2,1,2,1,1,2,3,1,2,2,1,4,1,1,1,2,1,1,1,1,1,1,2,3,2,3,2,2,1,2,2,1,1
DC3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
DL1,0,4,3,0,1,0,0,0,0,1,0,0,1,1,2,1,1,0,0,0,2,1,0,0,3,0,0,2,1,0,0,0,0,0
DL2v,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DL3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DL4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DL5,4,1,1,5,0,0,1,0,1,1,1,1,4,1,1,2,1,1,0,1,3,3,2,0,0,2,5,1,0,0,0,2,1,2
DM1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0
DM2,11,8,4,9,1,1,3,7,4,8,1,2,10,1,2,8,3,3,1,1,7,2,3,2,5,4,4,5,8,1,1,4,8,1
DM3,4,1,0,0,0,0,1,1,0,0,0,0,5,0,0,4,0,2,0,1,2,2,0,0,1,3,2,1,2,0,0,2,3,0
DM4,2,0,0,0,2,0,0,1,0,0,0,0,2,1,0,0,0,1,0,0,2,3,0,0,0,1,1,0,2,0,0,3,3,0
DM5,3,2,0,3,0,0,2,1,0,1,0,0,5,0,1,2,1,1,0,0,3,3,1,0,6,0,1,5,2,0,0,1,3,0
DM6,15,16,6,24,9,0,14,2,1,10,0,0,10,1,11,5,0,2,4,3,4,9,14,8,16,1,8,10,13,5,0,2,11,1
DP1l,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VA1d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VA1v,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VA2,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1
VA3,2,2,1,2,0,0,2,1,1,1,1,1,2,1,1,2,1,2,0,1,3,2,1,1,3,0,2,1,2,1,0,1,2,1
VA4,2,1,1,2,1,1,2,1,1,2,1,1,4,1,1,1,2,1,0,0,2,2,1,1,4,4,3,1,4,1,1,1,1,1
VA5,1,0,1,0,0,0,1,0,1,1,1,2,2,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0
VA6,3,1,1,1,1,0,0,1,0,2,0,0,2,0,2,1,1,2,2,1,3,3,3,1,2,1,1,1,2,1,1,1,1,1
VA7l,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
VC1,3,2,6,2,2,0,0,0,0,0,2,0,2,0,2,1,4,2,2,1,4,4,2,0,5,3,0,5,2,0,0,5,2,2
VC2,6,2,0,0,0,0,1,0,0,1,0,0,6,0,0,0,2,0,0,0,5,2,1,0,2,0,1,1,2,0,0,0,1,0
VC3,2,1,0,8,2,1,4,1,1,3,1,0,1,1,6,3,0,0,0,0,1,1,5,0,0,2,3,3,0,3,0,2,5,2
VC4,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1
VC5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VL2a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VL2p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VM2,2,9,2,6,1,0,5,1,1,2,0,1,7,1,0,1,1,2,1,2,6,5,2,1,8,2,4,5,11,4,1,0,8,0
VM3,2,2,1,1,1,0,3,1,2,3,1,1,3,1,0,2,2,2,0,1,3,3,2,2,4,1,1,3,3,2,1,2,2,1
VM4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VM5d,3,2,1,5,3,0,5,2,1,4,1,2,3,1,1,4,1,2,0,0,2,2,1,0,6,1,2,2,1,2,0,1,3,1
VM5v,10,4,4,9,2,0,2,1,1,1,0,2,4,3,2,2,9,3,2,0,6,8,2,2,9,2,10,5,7,2,1,3,4,2
VM7d,4,1,4,4,2,0,2,0,0,1,1,3,6,0,2,4,1,2,1,2,3,2,4,1,5,1,3,3,3,0,1,1,3,1
VM7v,2,2,2,6,2,2,4,1,2,4,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,4,3,2,1,2,2,2,3,2
DL2d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
