receptor,African mango,African breadfruit,African nutmeg,Apple,Apricot,Avocado,Banana,Blackberry,Blueberry,Cactus fig,Currant,Fig,Galiamelon,Grape,Grapefruit,Honeymelon,Java plum,Kiwi,Mandarina,Mango,Monkey fruit,Napoleons's button,Orange,Papaya,Passionfruit,Peach,Pear,Physalis,Pineapple,Plums,Pomegranate,Raspberry,Strawberry,Watermelon
Or2a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Or7a,1,4,1,5,0,0,1,0,1,1,1,1,4,1,1,2,1,1,0,1,3,3,2,0,0,2,5,1,0,0,0,2,1,2
Or13a,2,5,1,2,1,1,2,3,1,2,2,1,4,1,1,1,2,1,1,1,1,1,1,2,3,2,3,2,2,1,2,2,1,1
Or22c,4,3,2,3,1,0,1,2,0,2,1,1,3,1,2,3,1,2,1,0,4,2,0,1,5,0,2,3,3,1,0,1,4,2
Or24a,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,2,1,1,0,1,1,1,2,1,1,1,1,1,1
Or30a,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1
Or33b,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Or35a,1,2,0,8,2,1,4,1,1,3,1,0,1,1,6,3,0,0,0,0,1,1,5,0,0,2,3,3,0,3,0,2,5,2
Or42a,1,4,4,4,2,0,2,0,0,1,1,3,6,0,2,4,1,2,1,2,3,2,4,1,5,1,3,3,3,0,1,1,3,1
Or42b,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0
Or45a,7,17,5,12,4,0,15,1,1,7,0,2,11,2,10,8,6,3,2,1,9,8,9,0,22,11,9,14,14,9,0,10,12,6
Or45b,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Or47a,1,4,0,0,0,0,1,1,0,0,0,0,5,0,0,4,0,2,0,1,2,2,0,0,1,3,2,1,2,0,0,2,3,0
Or49a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Or59a,3,3,3,2,0,0,4,1,0,3,0,1,4,0,0,1,4,1,0,2,4,2,2,0,2,0,2,2,3,0,1,1,2,1
Or67b,2,2,1,2,0,0,2,1,1,1,1,1,2,1,1,2,1,2,0,1,3,2,1,1,3,0,2,1,2,1,0,1,2,1
Or74a,0,6,3,0,0,6,0,0,0,5,0,3,10,1,12,8,0,5,10,3,3,0,9,6,6,6,12,7,7,8,0,3,3,5
Or82a,1,3,1,1,1,0,0,1,0,2,0,0,2,0,2,1,1,2,2,1,3,3,3,1,2,1,1,1,2,1,1,1,1,1
Or85c,2,5,1,6,2,0,3,3,1,3,1,3,4,2,0,3,3,2,0,1,4,4,2,0,7,4,3,3,5,1,1,3,4,2
Or94a,1,2,1,2,2,0,1,2,0,1,0,0,2,0,1,1,2,1,0,0,3,1,0,0,0,0,0,1,2,0,0,0,1,0
Or94b,1,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,3,0,0,0,0,1
