receptor,0.0s,0.5s,1.0s,1.5s,odour
Or10a,264.33,233,218.67,200.67,Responses to methyl salicylate at 10-2
Or19a,53.67,23.67,21.67,16.33,Responses to methyl salicylate at 10-2
Or49b,48.33,0,0.33,0.67,Responses to methyl salicylate at 10-2
Or43a,47.33,3.33,0.33,7,Responses to methyl salicylate at 10-2
Or67a,34.67,1,-3,-0.67,Responses to methyl salicylate at 10-2
Or98a,27.33,0.67,-0.67,-2.67,Responses to methyl salicylate at 10-2
Or7a,16.33,1.67,-0.33,1,Responses to methyl salicylate at 10-2
Or9a,14.67,0.67,-0.33,0.33,Responses to methyl salicylate at 10-2
Or35a,13,12.33,5,3.33,Responses to methyl salicylate at 10-2
Or85b,13,5.33,-2.33,1.33,Responses to methyl salicylate at 10-2
Or43b,7.67,1.33,3.33,1.33,Responses to methyl salicylate at 10-2
Or2a,5.67,-2,1.33,-0.33,Responses to methyl salicylate at 10-2
Or47b,4.33,-0.33,-0.67,2.33,Responses to methyl salicylate at 10-2
Or85f,4.33,-6.33,-3.33,-5.33,Responses to methyl salicylate at 10-2
Or23a,3.67,-9,-8,-8.33,Responses to methyl salicylate at 10-2
Or85a,3,3.67,2.67,-0.33,Responses to methyl salicylate at 10-2
Or82a,2.33,-1.33,-2.33,-1.33,Responses to methyl salicylate at 10-2
Or67c,-1.67,0,1.33,1.33,Responses to methyl salicylate at 10-2
Or22a,-2.33,0,6,5.33,Responses to methyl salicylate at 10-2
Or59b,-2.67,-1,-2.67,-0.33,Responses to methyl salicylate at 10-2
Or47a,-3.33,6.67,11.67,6.33,Responses to methyl salicylate at 10-2
Or33b,-4,-5,-3.67,-4.33,Responses to methyl salicylate at 10-2
Or65a,-9.67,-3,1,-1.67,Responses to methyl salicylate at 10-2
Or88a,-9.67,-0.67,0.67,-1,Responses to methyl salicylate at 10-2
Or10a,221.67,153,85.33,66.33,Responses to methyl salicylate at 10-4
Or19a,44,40,24,18,Responses to methyl salicylate at 10-4
Or49b,2,2.67,1.67,1.67,Responses to methyl salicylate at 10-4
Or43a,19,9.33,5,2.67,Responses to methyl salicylate at 10-4
Or67a,-1.33,-3,-2.67,-0.33,Responses to methyl salicylate at 10-4
Or98a,16,-1.67,-0.67,-1.33,Responses to methyl salicylate at 10-4
Or7a,0,-2,1.67,1.33,Responses to methyl salicylate at 10-4
Or9a,0.33,-0.33,0,0.33,Responses to methyl salicylate at 10-4
Or35a,19,6.67,2.67,-3.33,Responses to methyl salicylate at 10-4
Or85b,32.33,-0.33,-5.33,-4.33,Responses to methyl salicylate at 10-4
