,ethyl acetate at -2.0,pentyl acetate at -2.0,ethyl butyrate at -2.0,methyl salicylate at -2.0,1-hexanol at -2.0,1-octen-3-ol at -2.0,E2-hexenal at -2.0,"2,3-butanedione at -2.0",2-heptanone at -2.0,geranyl acetate at -2.0,ethyl acetate at -4.0,pentyl acetate at -4.0,ethyl butyrate at -4.0,methyl salicylate at -4.0,1-hexanol at -4.0,1-octen-3-ol at -4.0,E2-hexenal at -4.0,"2,3-butanedione at -4.0",2-heptanone at -4.0,geranyl acetate at -4.0,ethyl acetate at -6.0,pentyl acetate at -6.0,ethyl butyrate at -6.0,methyl salicylate at -6.0,1-hexanol at -6.0,1-octen-3-ol at -6.0,E2-hexenal at -6.0,"2,3-butanedione at -6.0",2-heptanone at -6.0,geranyl acetate at -6.0,ethyl acetate at -8.0,pentyl acetate at -8.0,ethyl butyrate at -8.0,methyl salicylate at -8.0,1-hexanol at -8.0,1-octen-3-ol at -8.0,E2-hexenal at -8.0,"2,3-butanedione at -8.0",2-heptanone at -8.0,geranyl acetate at -8.0,apple pure at nan,apricot pure at nan,banana pure at nan,cherry pure at nan,mango pure at nan,peach pure at nan,pineapple pure at nan,raspberry pure at nan,strawberry pure at nan,apple at -2.0,apricot at -2.0,banana at -2.0,cherry at -2.0,mango at -2.0,peach at -2.0,pineapple at -2.0,raspberry at -2.0,strawberry at -2.0,apple at -4.0,apricot at -4.0,banana at -4.0,cherry at -4.0,mango at -4.0,peach at -4.0,pineapple at -4.0,raspberry at -4.0,strawberry at -4.0,apple at -6.0,apricot at -6.0,banana at -6.0,cherry at -6.0,mango at -6.0,peach at -6.0,pineapple at -6.0,raspberry at -6.0,strawberry at -6.0
DA4m,-0.010416666666666666,0.12152777777777778,0.041666666666666664,0.017361111111111112,0.1388888888888889,0.09375,0.059027777777777776,0.010416666666666666,0.13541666666666666,0.006944444444444444,-0.013888888888888888,0.017361111111111112,-0.013888888888888888,-0.017361111111111112,0.003472222222222222,0.017361111111111112,-0.003472222222222222,-0.003472222222222222,0.12152777777777778,-0.010416666666666666,-0.003472222222222222,-0.013888888888888888,0.0,-0.003472222222222222,-0.013888888888888888,0.0,0.013888888888888888,0.010416666666666666,0.006944444444444444,0.0,0.013888888888888888,0.017361111111111112,-0.006944444444444444,0.003472222222222222,-0.003472222222222222,0.03125,0.020833333333333332,0.006944444444444444,0.03819444444444445,0.006944444444444444,0.1388888888888889,0.034722222222222224,0.1909722222222222,0.017361111111111112,0.052083333333333336,0.05555555555555555,0.04513888888888889,0.06597222222222222,0.12152777777777778,0.03125,-0.013888888888888888,0.1076388888888889,-0.003472222222222222,0.020833333333333332,-0.006944444444444444,-0.006944444444444444,0.020833333333333332,0.0625,0.010416666666666666,0.024305555555555556,0.06597222222222222,0.013888888888888888,0.013888888888888888,0.003472222222222222,0.006944444444444444,0.04861111111111111,0.059027777777777776,-0.003472222222222222,-0.006944444444444444,-0.010416666666666666,-0.013888888888888888,-0.017361111111111112,0.0,-0.017361111111111112,0.010416666666666666,-0.010416666666666666
DL5,0.020833333333333332,-0.013888888888888888,0.003472222222222222,-0.020833333333333332,0.3333333333333333,0.03125,0.7673611111111112,0.04513888888888889,-0.006944444444444444,0.003472222222222222,0.034722222222222224,0.010416666666666666,0.006944444444444444,-0.020833333333333332,0.017361111111111112,0.0,0.8715277777777778,0.006944444444444444,0.03125,0.024305555555555556,0.04861111111111111,0.034722222222222224,0.03125,0.027777777777777776,0.027777777777777776,0.034722222222222224,0.7083333333333334,0.006944444444444444,-0.013888888888888888,0.013888888888888888,-0.017361111111111112,-0.03125,-0.034722222222222224,-0.041666666666666664,-0.034722222222222224,-0.027777777777777776,0.0798611111111111,-0.041666666666666664,-0.024305555555555556,-0.017361111111111112,0.7291666666666666,0.5729166666666666,0.7048611111111112,0.7152777777777778,0.4965277777777778,0.5520833333333334,0.4722222222222222,0.6284722222222222,0.6840277777777778,0.6354166666666666,0.13194444444444445,0.6944444444444444,0.3784722222222222,0.08680555555555555,0.13541666666666666,0.05555555555555555,0.4444444444444444,0.5833333333333334,0.4270833333333333,0.024305555555555556,0.3506944444444444,0.006944444444444444,0.013888888888888888,0.0,0.010416666666666666,0.013888888888888888,0.03819444444444445,0.034722222222222224,0.020833333333333332,0.034722222222222224,0.024305555555555556,0.020833333333333332,0.0,0.003472222222222222,0.003472222222222222,-0.013888888888888888
VM3,0.1284722222222222,0.2951388888888889,0.4201388888888889,0.04513888888888889,0.3541666666666667,0.1875,0.13194444444444445,0.20833333333333334,0.3680555555555556,-0.017361111111111112,0.06597222222222222,0.034722222222222224,0.04861111111111111,-0.003472222222222222,0.020833333333333332,0.003472222222222222,0.0,0.017361111111111112,0.09722222222222222,-0.003472222222222222,0.003472222222222222,0.006944444444444444,0.0,0.0,0.006944444444444444,0.0,0.0,0.003472222222222222,0.052083333333333336,0.0,-0.013888888888888888,-0.013888888888888888,-0.013888888888888888,-0.006944444444444444,-0.010416666666666666,-0.017361111111111112,-0.010416666666666666,-0.010416666666666666,0.0,-0.010416666666666666,0.4375,0.2465277777777778,0.8854166666666666,0.14583333333333334,0.2604166666666667,0.2916666666666667,0.4618055555555556,0.3784722222222222,0.5451388888888888,0.1111111111111111,0.006944444444444444,0.2013888888888889,0.0,0.010416666666666666,0.006944444444444444,0.04861111111111111,0.027777777777777776,0.0798611111111111,0.024305555555555556,0.003472222222222222,0.0763888888888889,0.0,0.003472222222222222,0.006944444444444444,0.017361111111111112,0.006944444444444444,0.006944444444444444,0.010416666666666666,-0.003472222222222222,0.003472222222222222,0.013888888888888888,0.003472222222222222,0.0,-0.003472222222222222,0.003472222222222222,0.006944444444444444
DL1,0.020833333333333332,-0.003472222222222222,0.10069444444444445,0.8958333333333334,0.034722222222222224,-0.020833333333333332,-0.027777777777777776,0.0763888888888889,0.059027777777777776,-0.027777777777777776,0.03125,-0.020833333333333332,-0.003472222222222222,0.7638888888888888,-0.017361111111111112,-0.013888888888888888,-0.013888888888888888,0.003472222222222222,-0.027777777777777776,-0.024305555555555556,-0.006944444444444444,0.003472222222222222,-0.003472222222222222,0.2916666666666667,0.006944444444444444,-0.017361111111111112,0.010416666666666666,0.010416666666666666,0.04861111111111111,-0.027777777777777776,0.020833333333333332,-0.013888888888888888,0.017361111111111112,0.017361111111111112,0.010416666666666666,0.006944444444444444,-0.003472222222222222,-0.010416666666666666,0.0,0.010416666666666666,0.09722222222222222,0.017361111111111112,0.40625,0.14930555555555555,0.1701388888888889,0.003472222222222222,0.10416666666666667,0.14583333333333334,0.4027777777777778,0.06944444444444445,-0.006944444444444444,0.06597222222222222,0.06597222222222222,0.052083333333333336,0.013888888888888888,0.03819444444444445,0.09375,0.15625,0.041666666666666664,-0.010416666666666666,0.05555555555555555,-0.03125,-0.010416666666666666,-0.024305555555555556,-0.010416666666666666,-0.017361111111111112,0.006944444444444444,0.027777777777777776,-0.010416666666666666,0.003472222222222222,0.010416666666666666,0.010416666666666666,0.03125,0.013888888888888888,0.034722222222222224,0.020833333333333332
DC1,0.024305555555555556,0.4513888888888889,0.2534722222222222,0.003472222222222222,0.5069444444444444,0.5173611111111112,0.2013888888888889,0.12152777777777778,0.4548611111111111,0.03125,-0.020833333333333332,-0.013888888888888888,-0.020833333333333332,-0.006944444444444444,-0.020833333333333332,-0.003472222222222222,0.006944444444444444,-0.03125,-0.010416666666666666,0.020833333333333332,0.013888888888888888,0.010416666666666666,0.010416666666666666,0.003472222222222222,0.0,-0.006944444444444444,-0.017361111111111112,-0.006944444444444444,-0.006944444444444444,0.006944444444444444,0.04861111111111111,0.024305555555555556,0.017361111111111112,0.017361111111111112,0.006944444444444444,0.013888888888888888,0.010416666666666666,0.0,0.003472222222222222,0.017361111111111112,0.2534722222222222,0.19444444444444445,0.4375,0.16319444444444445,0.3611111111111111,0.16319444444444445,0.13194444444444445,0.21875,0.16319444444444445,0.09027777777777778,-0.024305555555555556,0.0763888888888889,-0.013888888888888888,0.05555555555555555,0.003472222222222222,-0.006944444444444444,0.003472222222222222,0.03125,-0.017361111111111112,-0.017361111111111112,-0.006944444444444444,-0.024305555555555556,-0.017361111111111112,0.0,-0.010416666666666666,-0.013888888888888888,0.0,-0.024305555555555556,-0.017361111111111112,-0.020833333333333332,-0.010416666666666666,-0.024305555555555556,-0.024305555555555556,0.0,-0.024305555555555556,0.003472222222222222
DM2,0.1840277777777778,0.5486111111111112,0.6701388888888888,-0.006944444444444444,0.21875,0.4201388888888889,0.1701388888888889,0.16666666666666666,0.3854166666666667,0.003472222222222222,0.0625,0.3784722222222222,0.5277777777777778,0.024305555555555556,0.052083333333333336,0.1111111111111111,0.003472222222222222,0.017361111111111112,0.1597222222222222,-0.003472222222222222,0.006944444444444444,0.04513888888888889,0.0763888888888889,0.010416666666666666,0.003472222222222222,0.017361111111111112,0.034722222222222224,0.020833333333333332,0.08680555555555555,0.024305555555555556,-0.010416666666666666,0.0,0.0,0.0,-0.006944444444444444,0.0,-0.003472222222222222,-0.003472222222222222,0.0,-0.010416666666666666,0.8611111111111112,0.4826388888888889,0.8506944444444444,0.4513888888888889,0.84375,0.5590277777777778,0.8125,0.8125,0.8229166666666666,0.4791666666666667,0.06944444444444445,0.4097222222222222,0.059027777777777776,0.3645833333333333,0.12152777777777778,0.3472222222222222,0.2777777777777778,0.4826388888888889,0.13194444444444445,0.003472222222222222,0.059027777777777776,0.0,0.07291666666666667,-0.003472222222222222,0.07291666666666667,0.034722222222222224,0.2222222222222222,0.024305555555555556,-0.006944444444444444,0.003472222222222222,0.006944444444444444,0.013888888888888888,0.0,0.003472222222222222,-0.003472222222222222,0.017361111111111112
DA3,0.006944444444444444,0.06944444444444445,0.052083333333333336,-0.003472222222222222,0.17708333333333334,0.06597222222222222,0.15625,0.052083333333333336,0.08680555555555555,0.013888888888888888,-0.017361111111111112,0.006944444444444444,-0.017361111111111112,-0.006944444444444444,0.0,-0.006944444444444444,0.0,-0.017361111111111112,0.052083333333333336,-0.003472222222222222,0.0,0.003472222222222222,0.010416666666666666,-0.010416666666666666,-0.006944444444444444,0.013888888888888888,-0.013888888888888888,0.017361111111111112,0.020833333333333332,-0.003472222222222222,-0.013888888888888888,-0.013888888888888888,-0.020833333333333332,-0.024305555555555556,-0.024305555555555556,-0.04513888888888889,0.0,0.006944444444444444,-0.020833333333333332,-0.03125,0.2361111111111111,0.10416666666666667,0.2673611111111111,0.08680555555555555,0.13541666666666666,0.09375,0.09375,0.19791666666666666,0.2326388888888889,0.0763888888888889,-0.017361111111111112,0.0798611111111111,0.006944444444444444,0.0,0.0,0.017361111111111112,-0.003472222222222222,0.006944444444444444,0.003472222222222222,0.013888888888888888,0.027777777777777776,-0.003472222222222222,0.0,0.013888888888888888,-0.017361111111111112,-0.006944444444444444,-0.003472222222222222,0.003472222222222222,0.003472222222222222,0.0,0.006944444444444444,0.006944444444444444,0.003472222222222222,0.010416666666666666,-0.010416666666666666,0.0
DM5+DM3,0.034722222222222224,-0.041666666666666664,0.1284722222222222,-0.024305555555555556,0.003472222222222222,-0.059027777777777776,-0.027777777777777776,0.03819444444444445,0.0,0.0,0.052083333333333336,-0.04861111111111111,0.04861111111111111,-0.010416666666666666,-0.010416666666666666,-0.013888888888888888,-0.010416666666666666,0.03819444444444445,-0.08680555555555555,0.0,0.0,0.003472222222222222,0.003472222222222222,0.003472222222222222,-0.006944444444444444,0.006944444444444444,0.020833333333333332,0.020833333333333332,-0.0763888888888889,0.006944444444444444,0.003472222222222222,-0.006944444444444444,0.013888888888888888,-0.003472222222222222,0.017361111111111112,0.003472222222222222,0.006944444444444444,0.017361111111111112,0.010416666666666666,-0.006944444444444444,0.020833333333333332,-0.010416666666666666,0.034722222222222224,-0.027777777777777776,-0.006944444444444444,-0.017361111111111112,-0.010416666666666666,-0.010416666666666666,-0.010416666666666666,0.034722222222222224,-0.020833333333333332,-0.017361111111111112,-0.003472222222222222,-0.013888888888888888,-0.013888888888888888,0.0,-0.006944444444444444,-0.010416666666666666,0.013888888888888888,-0.013888888888888888,-0.013888888888888888,0.024305555555555556,0.003472222222222222,-0.017361111111111112,-0.006944444444444444,0.006944444444444444,-0.003472222222222222,-0.027777777777777776,-0.020833333333333332,-0.013888888888888888,-0.006944444444444444,-0.020833333333333332,-0.027777777777777776,-0.006944444444444444,-0.017361111111111112,-0.010416666666666666
VC3,0.0625,0.6631944444444444,0.4201388888888889,0.006944444444444444,0.8229166666666666,0.4895833333333333,0.7881944444444444,0.04513888888888889,0.4131944444444444,-0.010416666666666666,-0.010416666666666666,0.16319444444444445,-0.006944444444444444,0.03125,0.9166666666666666,0.03819444444444445,0.06597222222222222,0.0,0.13194444444444445,-0.006944444444444444,-0.010416666666666666,0.010416666666666666,-0.013888888888888888,0.0,0.7638888888888888,-0.04861111111111111,-0.024305555555555556,-0.006944444444444444,0.027777777777777776,-0.027777777777777776,-0.003472222222222222,0.006944444444444444,0.010416666666666666,0.027777777777777776,0.10416666666666667,0.027777777777777776,0.013888888888888888,0.0,0.034722222222222224,-0.006944444444444444,0.4513888888888889,0.1388888888888889,0.3090277777777778,0.2881944444444444,0.20833333333333334,0.2708333333333333,0.17708333333333334,0.2708333333333333,0.3125,0.6319444444444444,0.013888888888888888,0.3784722222222222,0.21875,0.10069444444444445,0.14583333333333334,0.034722222222222224,0.2465277777777778,0.3541666666666667,0.2847222222222222,-0.006944444444444444,0.05555555555555555,0.0,-0.006944444444444444,0.017361111111111112,-0.010416666666666666,0.006944444444444444,0.052083333333333336,0.059027777777777776,0.027777777777777776,0.013888888888888888,0.003472222222222222,0.010416666666666666,0.020833333333333332,0.003472222222222222,0.010416666666666666,0.006944444444444444
DA4l,0.027777777777777776,0.041666666666666664,0.0763888888888889,0.06944444444444445,0.4618055555555556,0.3472222222222222,0.1423611111111111,0.03819444444444445,0.14583333333333334,-0.034722222222222224,-0.03125,-0.013888888888888888,-0.006944444444444444,-0.017361111111111112,-0.013888888888888888,-0.010416666666666666,0.003472222222222222,-0.024305555555555556,0.04861111111111111,-0.010416666666666666,0.020833333333333332,0.034722222222222224,0.03819444444444445,0.04513888888888889,0.027777777777777776,0.013888888888888888,0.020833333333333332,0.024305555555555556,0.041666666666666664,0.041666666666666664,0.024305555555555556,0.020833333333333332,0.03125,0.010416666666666666,0.006944444444444444,0.017361111111111112,0.003472222222222222,0.0,0.006944444444444444,-0.013888888888888888,0.2638888888888889,0.16319444444444445,0.3888888888888889,0.2361111111111111,0.17708333333333334,0.18055555555555555,0.2048611111111111,0.1527777777777778,0.17708333333333334,0.052083333333333336,0.013888888888888888,0.0798611111111111,0.006944444444444444,0.0,0.003472222222222222,0.020833333333333332,-0.010416666666666666,0.0,0.020833333333333332,0.027777777777777776,0.0625,0.013888888888888888,0.027777777777777776,0.013888888888888888,0.010416666666666666,0.020833333333333332,-0.017361111111111112,0.013888888888888888,0.04513888888888889,0.041666666666666664,0.041666666666666664,0.010416666666666666,0.017361111111111112,0.041666666666666664,0.027777777777777776,0.003472222222222222
