,ammonium hydroxide,putrescine,cadaverine,g-butyrolactone,g-hexalactone,g-octalactone,g-decalactone,d-decalactone,methanoic acid,acetic acid,propionic acid,butyric acid,pentanoic acid,hexanoic acid,heptanoic acid,octanoic acid,nonanoic acid,linoleic acid,isobutyric acid,isopentanoic acid,pyruvic acid,2-ethylhexanoic acid,lactic acid,3-methylthio-1-propanol,dimethyl sulfide,terpinolene,a -pinene,b -pinene,(1S)-(+)-3-carene,limonene,a-humulene,b -myrcene,(-)-trans-caryophyllene,p-cymene,geranyl acetate,a -terpineol,geraniol,nerol,linalool,b-citronellol,linalool oxide,acetaldehyde,propanal,butanal,pentanal,hexanal,E2-hexenal,furfural,2-propenal,acetone,2-butanone,2-pentanone,2-heptanone,6-methyl-5-hepten-2-one,"2,3-butanedione",phenethyl alcohol,benzyl alcohol,methyl salicylate,methyl benzoate,ethyl benzoate,phenethyl acetate,benzaldehyde,phenylacetaldehyde,acetophenone,ethyl cinnamate,2-methylphenol,4-ethyl guaiacol,eugenol,methanol,ethanol,1-propanol,1-butanol,1-pentanol,1-hexanol,1-octanol,2-pentanol,3-methylbutanol,3-methyl-2-buten-1-ol,1-penten-3-ol,1-octen-3-ol,E2-hexenol,Z2-hexenol,E3-hexenol,Z3-hexenol,glycerol,"2,3-butanediol",methyl acetate,ethyl acetate,propyl acetate,butyl acetate,pentyl acetate,hexyl acetate,isobutyl acetate,isopentyl acetate,E2-hexenyl acetate,methyl butyrate,ethyl butyrate,hexyl butyrate,ethyl 3-hydroxybutyrate,ethyl propionate,ethyl methanoate,methyl hexanoate,ethyl hexanoate,hexyl hexanoate,methyl octanoate,ethyl octanoate,ethyl decanoate,ethyl trans-2-butenoate,ethyl lactate,diethyl succinate,spontaneous firing rate
DA4m,0.010416666666666666,0.020833333333333332,0.003472222222222222,0.03125,0.052083333333333336,0.024305555555555556,-0.003472222222222222,0.0,-0.006944444444444444,0.017361111111111112,0.003472222222222222,0.03819444444444445,0.024305555555555556,0.027777777777777776,0.010416666666666666,-0.006944444444444444,-0.006944444444444444,-0.024305555555555556,-0.006944444444444444,0.013888888888888888,0.010416666666666666,0.010416666666666666,0.006944444444444444,0.027777777777777776,0.0,-0.020833333333333332,-0.006944444444444444,0.010416666666666666,-0.003472222222222222,0.010416666666666666,-0.003472222222222222,0.006944444444444444,0.006944444444444444,-0.006944444444444444,0.006944444444444444,0.006944444444444444,-0.003472222222222222,0.027777777777777776,0.059027777777777776,0.010416666666666666,0.10416666666666667,0.07291666666666667,0.0625,0.14930555555555555,0.0763888888888889,0.06597222222222222,0.059027777777777776,0.03819444444444445,0.04861111111111111,0.003472222222222222,0.027777777777777776,0.10416666666666667,0.13541666666666666,0.1597222222222222,0.010416666666666666,0.006944444444444444,-0.013888888888888888,0.017361111111111112,0.003472222222222222,0.003472222222222222,0.03819444444444445,0.017361111111111112,0.034722222222222224,-0.010416666666666666,-0.013888888888888888,-0.03819444444444445,-0.003472222222222222,0.013888888888888888,0.034722222222222224,0.013888888888888888,0.11458333333333333,0.15625,0.12152777777777778,0.1388888888888889,0.003472222222222222,0.13194444444444445,0.10416666666666667,0.125,0.11805555555555555,0.09375,0.12152777777777778,0.11805555555555555,0.15625,0.10069444444444445,0.006944444444444444,0.020833333333333332,0.017361111111111112,-0.010416666666666666,0.1076388888888889,0.17708333333333334,0.12152777777777778,0.10069444444444445,0.1076388888888889,0.22569444444444445,0.0763888888888889,0.08680555555555555,0.041666666666666664,0.013888888888888888,0.1840277777777778,0.07291666666666667,0.010416666666666666,0.13541666666666666,0.0763888888888889,0.003472222222222222,0.003472222222222222,0.003472222222222222,0.017361111111111112,0.03819444444444445,0.13541666666666666,0.05555555555555555,0.027777777777777776
DL5,-0.07291666666666667,-0.125,-0.1423611111111111,0.11805555555555555,-0.13541666666666666,-0.0763888888888889,-0.041666666666666664,-0.052083333333333336,-0.04861111111111111,-0.03819444444444445,0.017361111111111112,0.14583333333333334,0.0763888888888889,0.010416666666666666,-0.020833333333333332,-0.024305555555555556,-0.034722222222222224,0.4722222222222222,0.027777777777777776,-0.013888888888888888,0.1909722222222222,0.003472222222222222,-0.006944444444444444,0.10069444444444445,-0.027777777777777776,0.020833333333333332,0.06944444444444445,-0.03819444444444445,0.013888888888888888,0.013888888888888888,0.034722222222222224,0.03125,0.013888888888888888,-0.003472222222222222,0.003472222222222222,0.017361111111111112,0.003472222222222222,0.034722222222222224,0.1076388888888889,0.07291666666666667,-0.04861111111111111,0.5729166666666666,-0.05555555555555555,0.1875,0.59375,0.6145833333333334,0.7673611111111112,0.6111111111111112,0.1076388888888889,-0.034722222222222224,0.03125,0.006944444444444444,-0.006944444444444444,-0.08333333333333333,0.04513888888888889,0.010416666666666666,0.017361111111111112,-0.020833333333333332,-0.09375,-0.06944444444444445,-0.04513888888888889,0.6944444444444444,0.14930555555555555,0.034722222222222224,-0.020833333333333332,-0.09375,-0.034722222222222224,-0.034722222222222224,0.0763888888888889,0.11458333333333333,0.625,0.6770833333333334,0.5763888888888888,0.3333333333333333,-0.0625,0.2708333333333333,0.5451388888888888,0.6805555555555556,0.4305555555555556,0.03125,0.625,0.5243055555555556,0.5347222222222222,0.5208333333333334,-0.006944444444444444,-0.052083333333333336,-0.020833333333333332,0.020833333333333332,-0.013888888888888888,-0.06597222222222222,-0.013888888888888888,-0.06597222222222222,0.13194444444444445,-0.11458333333333333,0.7083333333333334,-0.003472222222222222,0.003472222222222222,-0.013888888888888888,-0.09375,0.2951388888888889,0.375,0.1388888888888889,-0.04513888888888889,-0.013888888888888888,-0.024305555555555556,-0.024305555555555556,-0.041666666666666664,-0.006944444444444444,0.1076388888888889,-0.03819444444444445,0.059027777777777776
VM3,0.1111111111111111,0.09027777777777778,0.07291666666666667,0.1840277777777778,0.4097222222222222,0.09027777777777778,-0.003472222222222222,-0.006944444444444444,0.04861111111111111,0.03125,0.06944444444444445,0.4791666666666667,0.06597222222222222,0.0763888888888889,0.010416666666666666,-0.006944444444444444,-0.020833333333333332,0.010416666666666666,0.06597222222222222,0.0798611111111111,0.0763888888888889,0.013888888888888888,0.020833333333333332,0.3333333333333333,0.06597222222222222,-0.003472222222222222,-0.003472222222222222,-0.020833333333333332,0.003472222222222222,0.010416666666666666,-0.006944444444444444,-0.003472222222222222,0.010416666666666666,-0.006944444444444444,-0.017361111111111112,0.024305555555555556,-0.003472222222222222,0.006944444444444444,0.020833333333333332,0.020833333333333332,0.2743055555555556,0.3298611111111111,0.020833333333333332,0.020833333333333332,0.08333333333333333,0.11805555555555555,0.13194444444444445,0.3229166666666667,0.010416666666666666,0.10069444444444445,0.3263888888888889,0.4513888888888889,0.3680555555555556,0.2013888888888889,0.20833333333333334,0.059027777777777776,0.10416666666666667,0.04513888888888889,0.14930555555555555,0.10069444444444445,0.0625,0.19791666666666666,0.04861111111111111,0.2152777777777778,-0.006944444444444444,0.125,0.04861111111111111,0.034722222222222224,0.08680555555555555,0.07291666666666667,0.18055555555555555,0.3576388888888889,0.5555555555555556,0.3541666666666667,0.06944444444444445,0.7881944444444444,0.3368055555555556,0.2048611111111111,0.7256944444444444,0.1875,0.3819444444444444,0.3055555555555556,0.6875,0.5347222222222222,0.027777777777777776,0.8576388888888888,0.08333333333333333,0.1284722222222222,0.5590277777777778,0.5243055555555556,0.2951388888888889,0.1527777777777778,0.5972222222222222,0.4826388888888889,0.10416666666666667,0.4965277777777778,0.4201388888888889,0.006944444444444444,0.7083333333333334,0.2013888888888889,0.08333333333333333,0.1840277777777778,0.06944444444444445,-0.010416666666666666,0.013888888888888888,0.006944444444444444,0.006944444444444444,0.3576388888888889,0.2604166666666667,0.07291666666666667,0.010416666666666666
DL1,0.034722222222222224,-0.09027777777777778,-0.059027777777777776,-0.020833333333333332,0.0625,0.0625,-0.006944444444444444,-0.03819444444444445,0.1076388888888889,0.0625,0.125,0.11458333333333333,0.0763888888888889,0.06597222222222222,-0.003472222222222222,-0.003472222222222222,0.006944444444444444,0.013888888888888888,0.10069444444444445,0.08333333333333333,0.0798611111111111,0.017361111111111112,0.11805555555555555,0.017361111111111112,-0.05555555555555555,-0.024305555555555556,-0.006944444444444444,-0.041666666666666664,-0.041666666666666664,-0.017361111111111112,-0.03125,-0.03125,-0.020833333333333332,-0.027777777777777776,-0.027777777777777776,-0.034722222222222224,-0.020833333333333332,-0.041666666666666664,-0.04861111111111111,-0.034722222222222224,0.003472222222222222,0.08680555555555555,-0.003472222222222222,-0.006944444444444444,0.020833333333333332,0.09722222222222222,-0.027777777777777776,0.11805555555555555,-0.024305555555555556,0.0,0.024305555555555556,0.06597222222222222,0.059027777777777776,0.027777777777777776,0.0763888888888889,-0.05555555555555555,-0.017361111111111112,0.8958333333333334,0.9201388888888888,0.9305555555555556,-0.041666666666666664,0.4270833333333333,0.2222222222222222,0.8819444444444444,-0.024305555555555556,-0.059027777777777776,0.006944444444444444,0.2222222222222222,0.017361111111111112,0.041666666666666664,-0.013888888888888888,-0.017361111111111112,0.03819444444444445,0.034722222222222224,-0.0625,0.059027777777777776,-0.020833333333333332,-0.017361111111111112,-0.024305555555555556,-0.020833333333333332,-0.027777777777777776,-0.052083333333333336,0.04513888888888889,-0.017361111111111112,-0.027777777777777776,-0.017361111111111112,0.03125,0.020833333333333332,0.2326388888888889,0.4444444444444444,-0.003472222222222222,-0.06597222222222222,0.7361111111111112,0.7222222222222222,-0.013888888888888888,0.14930555555555555,0.10069444444444445,-0.003472222222222222,0.2361111111111111,0.13194444444444445,0.010416666666666666,0.059027777777777776,-0.04861111111111111,-0.003472222222222222,-0.04513888888888889,-0.04861111111111111,0.14930555555555555,0.5069444444444444,0.1076388888888889,-0.04513888888888889,0.04861111111111111
DC1,0.003472222222222222,-0.03125,-0.017361111111111112,-0.024305555555555556,-0.006944444444444444,0.006944444444444444,-0.0763888888888889,-0.0798611111111111,0.0,0.010416666666666666,0.017361111111111112,0.034722222222222224,0.10416666666666667,0.10416666666666667,-0.06597222222222222,-0.09027777777777778,-0.06597222222222222,-0.10416666666666667,0.024305555555555556,0.07291666666666667,-0.003472222222222222,-0.0763888888888889,-0.013888888888888888,-0.03125,-0.09375,0.17708333333333334,0.07291666666666667,0.1388888888888889,0.4270833333333333,0.3194444444444444,-0.024305555555555556,0.07291666666666667,0.07291666666666667,0.06944444444444445,0.03125,0.2951388888888889,0.006944444444444444,0.0763888888888889,0.4340277777777778,0.0625,0.3159722222222222,0.06597222222222222,-0.18055555555555555,-0.13194444444444445,-0.06944444444444445,-0.10069444444444445,0.2013888888888889,-0.0763888888888889,-0.041666666666666664,-0.08680555555555555,-0.05555555555555555,-0.003472222222222222,0.4548611111111111,0.23958333333333334,0.12152777777777778,0.04861111111111111,-0.03125,0.003472222222222222,-0.041666666666666664,-0.020833333333333332,0.024305555555555556,-0.052083333333333336,-0.10416666666666667,0.017361111111111112,-0.07291666666666667,-0.05555555555555555,-0.034722222222222224,-0.05555555555555555,-0.05555555555555555,-0.041666666666666664,0.034722222222222224,0.1701388888888889,0.2916666666666667,0.5069444444444444,0.3194444444444444,0.2569444444444444,0.2708333333333333,0.2013888888888889,0.2222222222222222,0.5173611111111112,0.2743055555555556,0.2951388888888889,0.2569444444444444,0.2916666666666667,-0.07291666666666667,-0.06597222222222222,-0.04513888888888889,0.024305555555555556,-0.003472222222222222,0.1076388888888889,0.4513888888888889,0.1736111111111111,0.16666666666666666,0.28125,0.1284722222222222,-0.020833333333333332,0.2534722222222222,0.020833333333333332,0.10416666666666667,-0.04513888888888889,-0.059027777777777776,0.125,0.14583333333333334,-0.08680555555555555,0.0,-0.027777777777777776,-0.059027777777777776,0.03125,0.08333333333333333,0.08333333333333333,0.10069444444444445
DM2,0.04513888888888889,0.041666666666666664,0.04513888888888889,0.14930555555555555,0.4861111111111111,0.1423611111111111,0.05555555555555555,0.03819444444444445,0.11458333333333333,0.1111111111111111,0.1284722222222222,0.40625,0.15625,0.40625,0.041666666666666664,0.0,0.024305555555555556,0.010416666666666666,0.11805555555555555,0.1423611111111111,0.12152777777777778,0.06597222222222222,0.125,0.13194444444444445,0.04513888888888889,0.06597222222222222,0.11458333333333333,0.034722222222222224,0.03819444444444445,0.11805555555555555,0.03125,0.06597222222222222,0.027777777777777776,0.0625,0.003472222222222222,0.21875,0.09722222222222222,0.1284722222222222,0.18055555555555555,0.08680555555555555,0.08680555555555555,0.2465277777777778,0.125,0.1840277777777778,0.23958333333333334,0.4826388888888889,0.1701388888888889,0.10069444444444445,0.1111111111111111,0.13194444444444445,0.2916666666666667,0.5138888888888888,0.3854166666666667,0.2951388888888889,0.16666666666666666,0.1597222222222222,0.1388888888888889,-0.006944444444444444,0.14930555555555555,0.1701388888888889,0.1388888888888889,0.1111111111111111,0.1527777777777778,0.1111111111111111,0.041666666666666664,0.03125,0.024305555555555556,0.024305555555555556,0.1909722222222222,0.1909722222222222,0.2013888888888889,0.4166666666666667,0.6215277777777778,0.21875,0.1840277777777778,0.3923611111111111,0.3611111111111111,0.3506944444444444,0.2013888888888889,0.4201388888888889,0.3020833333333333,0.3854166666666667,0.2847222222222222,0.28125,0.013888888888888888,0.1736111111111111,0.1875,0.1840277777777778,0.6875,0.7361111111111112,0.5486111111111112,0.5972222222222222,0.8715277777777778,0.8055555555555556,0.6736111111111112,0.7638888888888888,0.6701388888888888,0.13541666666666666,0.4791666666666667,0.6527777777777778,0.04513888888888889,0.8888888888888888,0.7777777777777778,0.1076388888888889,0.8229166666666666,0.3298611111111111,0.020833333333333332,0.7291666666666666,0.24305555555555555,0.7118055555555556,0.013888888888888888
DA3,-0.006944444444444444,-0.006944444444444444,-0.024305555555555556,0.013888888888888888,0.041666666666666664,0.010416666666666666,-0.010416666666666666,-0.006944444444444444,-0.027777777777777776,-0.003472222222222222,-0.010416666666666666,-0.010416666666666666,0.006944444444444444,0.010416666666666666,-0.006944444444444444,0.006944444444444444,-0.013888888888888888,0.017361111111111112,-0.010416666666666666,-0.013888888888888888,-0.003472222222222222,-0.006944444444444444,-0.010416666666666666,-0.006944444444444444,-0.013888888888888888,-0.010416666666666666,-0.010416666666666666,-0.013888888888888888,-0.017361111111111112,-0.013888888888888888,-0.010416666666666666,-0.013888888888888888,-0.017361111111111112,-0.020833333333333332,0.013888888888888888,-0.013888888888888888,-0.020833333333333332,-0.010416666666666666,0.010416666666666666,-0.020833333333333332,0.027777777777777776,0.03819444444444445,-0.017361111111111112,-0.020833333333333332,-0.017361111111111112,0.04513888888888889,0.15625,0.0625,-0.020833333333333332,-0.024305555555555556,0.010416666666666666,0.04513888888888889,0.08680555555555555,0.09722222222222222,0.052083333333333336,-0.006944444444444444,-0.017361111111111112,-0.003472222222222222,-0.020833333333333332,-0.020833333333333332,-0.013888888888888888,-0.017361111111111112,0.003472222222222222,-0.020833333333333332,-0.003472222222222222,-0.027777777777777776,-0.03125,0.003472222222222222,-0.010416666666666666,0.020833333333333332,0.017361111111111112,0.1423611111111111,0.2534722222222222,0.17708333333333334,0.003472222222222222,0.1423611111111111,0.11458333333333333,0.08680555555555555,0.10069444444444445,0.06597222222222222,0.1423611111111111,0.1909722222222222,0.1388888888888889,0.125,-0.024305555555555556,-0.013888888888888888,0.006944444444444444,0.006944444444444444,0.041666666666666664,0.10069444444444445,0.06944444444444445,0.006944444444444444,0.03125,0.07291666666666667,0.013888888888888888,0.006944444444444444,0.052083333333333336,0.003472222222222222,0.11805555555555555,-0.017361111111111112,-0.017361111111111112,0.03125,0.04513888888888889,-0.013888888888888888,-0.010416666666666666,-0.013888888888888888,-0.003472222222222222,0.03125,0.03819444444444445,0.09027777777777778,0.03125
DM5+DM3,-0.03125,-0.013888888888888888,-0.024305555555555556,0.024305555555555556,0.08680555555555555,0.034722222222222224,0.059027777777777776,0.052083333333333336,-0.020833333333333332,-0.006944444444444444,-0.03125,-0.03819444444444445,-0.03819444444444445,0.0763888888888889,-0.013888888888888888,-0.04513888888888889,-0.006944444444444444,-0.03819444444444445,-0.03125,-0.034722222222222224,-0.041666666666666664,-0.052083333333333336,-0.010416666666666666,-0.024305555555555556,-0.020833333333333332,0.034722222222222224,0.04513888888888889,0.034722222222222224,0.017361111111111112,0.027777777777777776,-0.003472222222222222,0.013888888888888888,0.04861111111111111,0.010416666666666666,0.0,0.034722222222222224,0.052083333333333336,0.04513888888888889,0.10069444444444445,0.027777777777777776,0.059027777777777776,0.03819444444444445,0.010416666666666666,0.0,0.010416666666666666,-0.034722222222222224,-0.027777777777777776,0.09722222222222222,0.020833333333333332,-0.034722222222222224,0.024305555555555556,0.034722222222222224,0.0,-0.03819444444444445,0.03819444444444445,0.10069444444444445,0.11805555555555555,-0.024305555555555556,-0.041666666666666664,-0.010416666666666666,0.0,-0.017361111111111112,0.024305555555555556,-0.05555555555555555,0.010416666666666666,-0.05555555555555555,-0.010416666666666666,-0.020833333333333332,0.12152777777777778,0.125,0.09375,0.13541666666666666,0.14583333333333334,0.003472222222222222,0.010416666666666666,0.15625,0.11458333333333333,0.1423611111111111,0.1527777777777778,-0.059027777777777776,0.07291666666666667,0.07291666666666667,0.10069444444444445,0.10416666666666667,0.052083333333333336,0.125,0.052083333333333336,0.034722222222222224,0.04513888888888889,0.041666666666666664,-0.041666666666666664,0.03819444444444445,0.052083333333333336,0.020833333333333332,0.04513888888888889,0.06597222222222222,0.1284722222222222,0.013888888888888888,0.0,0.28125,0.0,-0.05555555555555555,0.0,0.003472222222222222,0.010416666666666666,-0.013888888888888888,0.003472222222222222,-0.013888888888888888,0.006944444444444444,-0.027777777777777776,0.08680555555555555
VC3,0.013888888888888888,0.0,0.041666666666666664,0.28125,0.59375,0.125,-0.010416666666666666,-0.034722222222222224,0.017361111111111112,-0.003472222222222222,0.006944444444444444,0.041666666666666664,0.125,0.024305555555555556,0.03819444444444445,-0.013888888888888888,-0.027777777777777776,0.13194444444444445,0.003472222222222222,0.017361111111111112,0.017361111111111112,-0.027777777777777776,0.03125,0.6527777777777778,-0.006944444444444444,0.024305555555555556,0.09722222222222222,0.010416666666666666,-0.013888888888888888,0.17708333333333334,0.010416666666666666,0.0,0.04861111111111111,0.03125,-0.010416666666666666,0.0625,0.03125,0.034722222222222224,0.09027777777777778,0.03819444444444445,-0.017361111111111112,0.013888888888888888,-0.020833333333333332,0.22569444444444445,0.2847222222222222,0.6423611111111112,0.7881944444444444,0.6111111111111112,-0.03125,0.027777777777777776,0.04513888888888889,0.3888888888888889,0.4131944444444444,-0.041666666666666664,0.04513888888888889,0.4166666666666667,0.1527777777777778,0.006944444444444444,-0.04861111111111111,-0.05555555555555555,-0.04513888888888889,0.2881944444444444,-0.059027777777777776,0.034722222222222224,-0.034722222222222224,-0.041666666666666664,-0.010416666666666666,-0.024305555555555556,0.13194444444444445,0.11805555555555555,0.1909722222222222,0.6909722222222222,0.6527777777777778,0.8229166666666666,0.7708333333333334,0.5625,0.7708333333333334,0.6111111111111112,0.1284722222222222,0.4895833333333333,0.7743055555555556,0.7013888888888888,0.7395833333333334,0.7083333333333334,-0.013888888888888888,0.013888888888888888,-0.020833333333333332,0.0625,0.3541666666666667,0.21875,0.6631944444444444,0.7152777777777778,0.09027777777777778,0.0763888888888889,0.7881944444444444,0.3541666666666667,0.4201388888888889,0.78125,0.3020833333333333,0.003472222222222222,-0.03819444444444445,-0.034722222222222224,-0.07291666666666667,0.4375,0.034722222222222224,-0.041666666666666664,-0.034722222222222224,0.04861111111111111,0.017361111111111112,-0.06944444444444445,0.059027777777777776
DA4l,-0.003472222222222222,-0.059027777777777776,-0.034722222222222224,-0.041666666666666664,0.027777777777777776,-0.017361111111111112,-0.0625,-0.05555555555555555,-0.03125,0.0,-0.017361111111111112,-0.024305555555555556,-0.017361111111111112,0.017361111111111112,-0.03819444444444445,-0.017361111111111112,-0.052083333333333336,-0.04861111111111111,-0.017361111111111112,-0.041666666666666664,-0.003472222222222222,-0.08680555555555555,0.003472222222222222,0.013888888888888888,-0.06597222222222222,-0.020833333333333332,0.020833333333333332,0.034722222222222224,0.03125,-0.020833333333333332,-0.03819444444444445,-0.017361111111111112,-0.08680555555555555,-0.027777777777777776,-0.034722222222222224,0.003472222222222222,-0.05555555555555555,-0.024305555555555556,-0.020833333333333332,-0.04513888888888889,0.0625,0.013888888888888888,-0.1076388888888889,-0.03819444444444445,-0.04513888888888889,-0.013888888888888888,0.1423611111111111,-0.059027777777777776,-0.024305555555555556,-0.05555555555555555,-0.027777777777777776,0.041666666666666664,0.14583333333333334,0.024305555555555556,0.03819444444444445,0.09722222222222222,0.18055555555555555,0.06944444444444445,-0.010416666666666666,-0.09027777777777778,-0.041666666666666664,0.125,-0.020833333333333332,0.1284722222222222,-0.06597222222222222,0.2673611111111111,-0.017361111111111112,-0.04861111111111111,-0.006944444444444444,-0.024305555555555556,-0.04513888888888889,-0.003472222222222222,0.2673611111111111,0.4618055555555556,-0.04513888888888889,0.3333333333333333,0.1875,0.10416666666666667,0.2013888888888889,0.3472222222222222,0.1111111111111111,0.2638888888888889,0.1527777777777778,0.3402777777777778,-0.0625,-0.03819444444444445,-0.041666666666666664,0.027777777777777776,0.041666666666666664,0.06944444444444445,0.041666666666666664,-0.010416666666666666,0.08680555555555555,0.059027777777777776,-0.059027777777777776,0.034722222222222224,0.0763888888888889,-0.027777777777777776,0.12152777777777778,0.003472222222222222,-0.04861111111111111,0.010416666666666666,0.020833333333333332,-0.04861111111111111,-0.04513888888888889,-0.041666666666666664,-0.027777777777777776,-0.0763888888888889,0.024305555555555556,-0.027777777777777776,0.07291666666666667
