receptor,0.0s,0.5s,1.0s,1.5s,odour,glomerulus
Or10a,0.9178124999999999,0.8090277777777778,0.7592708333333333,0.6967708333333333,methyl salicylate at 10-2,DL1
Or19a,0.18635416666666668,0.08218750000000001,0.07524305555555556,0.056701388888888885,methyl salicylate at 10-2,DC1
Or49b,0.1678125,0.0,0.0011458333333333333,0.002326388888888889,methyl salicylate at 10-2,VA5
Or43a,0.16434027777777777,0.0115625,0.0011458333333333333,0.024305555555555556,methyl salicylate at 10-2,DA4l
Or67a,0.12038194444444444,0.003472222222222222,-0.010416666666666666,-0.002326388888888889,methyl salicylate at 10-2,DM6
Or98a,0.09489583333333333,0.002326388888888889,-0.002326388888888889,-0.009270833333333332,methyl salicylate at 10-2,VM5v
Or7a,0.056701388888888885,0.005798611111111111,-0.0011458333333333333,0.003472222222222222,methyl salicylate at 10-2,DL5
Or9a,0.0509375,0.002326388888888889,-0.0011458333333333333,0.0011458333333333333,methyl salicylate at 10-2,VM3
Or35a,0.04513888888888889,0.0428125,0.017361111111111112,0.0115625,methyl salicylate at 10-2,VC3
Or85b,0.04513888888888889,0.018506944444444444,-0.008090277777777778,0.004618055555555556,methyl salicylate at 10-2,VM5d
Or43b,0.026631944444444444,0.004618055555555556,0.0115625,0.004618055555555556,methyl salicylate at 10-2,VM2
Or2a,0.0196875,-0.006944444444444444,0.004618055555555556,-0.0011458333333333333,methyl salicylate at 10-2,DA4m
Or47b,0.015034722222222222,-0.0011458333333333333,-0.002326388888888889,0.008090277777777778,methyl salicylate at 10-2,VA1v
Or85f,0.015034722222222222,-0.021979166666666668,-0.0115625,-0.018506944444444444,methyl salicylate at 10-2,DL4
Or23a,0.012743055555555556,-0.03125,-0.027777777777777776,-0.028923611111111112,methyl salicylate at 10-2,DA3
Or85a,0.010416666666666666,0.012743055555555556,0.009270833333333332,-0.0011458333333333333,methyl salicylate at 10-2,DM5
Or82a,0.008090277777777778,-0.004618055555555556,-0.008090277777777778,-0.004618055555555556,methyl salicylate at 10-2,VA6
Or67c,-0.005798611111111111,0.0,0.004618055555555556,0.004618055555555556,methyl salicylate at 10-2,VC4
Or22a,-0.008090277777777778,0.0,0.020833333333333332,0.018506944444444444,methyl salicylate at 10-2,DM2
Or59b,-0.009270833333333332,-0.003472222222222222,-0.009270833333333332,-0.0011458333333333333,methyl salicylate at 10-2,DM4
Or47a,-0.0115625,0.02315972222222222,0.04052083333333333,0.021979166666666668,methyl salicylate at 10-2,DM3
Or33b,-0.013888888888888888,-0.017361111111111112,-0.012743055555555556,-0.015034722222222222,methyl salicylate at 10-2,DM5+DM3
Or65a,-0.03357638888888889,-0.010416666666666666,0.003472222222222222,-0.005798611111111111,methyl salicylate at 10-2,DL3
Or88a,-0.03357638888888889,-0.002326388888888889,0.002326388888888889,-0.003472222222222222,methyl salicylate at 10-2,VA1d
Or10a,0.7696875,0.53125,0.29628472222222224,0.2303125,methyl salicylate at 10-4,DL1
