hex1_id,hex2_id,x,y
1,7,6,8
1,8,7,9
1,10,9,11
2,5,3,7
2,6,4,8
2,7,5,9
2,8,6,10
2,9,7,11
2,10,8,12
2,11,9,13
2,12,10,14
2,13,11,15
3,4,1,7
3,5,2,8
3,6,3,9
3,7,4,10
3,8,5,11
3,9,6,12
3,10,7,13
3,11,8,14
3,12,9,15
3,13,10,16
3,14,11,17
3,15,12,18
4,3,-1,7
4,4,0,8
4,5,1,9
4,6,2,10
4,7,3,11
4,8,4,12
4,9,5,13
4,10,6,14
4,11,7,15
4,12,8,16
4,13,9,17
4,14,10,18
4,15,11,19
4,16,12,20
4,17,13,21
4,18,14,22
5,2,-3,7
5,3,-2,8
5,4,-1,9
5,5,0,10
5,6,1,11
5,7,2,12
5,8,3,13
5,9,4,14
5,10,5,15
5,11,6,16
5,12,7,17
5,13,8,18
5,14,9,19
5,15,10,20
5,16,11,21
5,17,12,22
5,18,13,23
5,19,14,24
5,20,15,25
6,1,-5,7
6,2,-4,8
6,3,-3,9
6,4,-2,10
6,5,-1,11
6,6,0,12
6,7,1,13
6,8,2,14
6,9,3,15
6,10,4,16
6,11,5,17
6,12,6,18
6,13,7,19
6,14,8,20
6,15,9,21
6,16,10,22
6,17,11,23
6,18,12,24
6,19,13,25
6,20,14,26
6,21,15,27
6,22,16,28
7,1,-6,8
7,2,-5,9
7,3,-4,10
7,4,-3,11
7,5,-2,12
7,6,-1,13
7,7,0,14
7,8,1,15
7,9,2,16
7,10,3,17
7,11,4,18
7,12,5,19
7,13,6,20
7,14,7,21
7,15,8,22
7,16,9,23
7,17,10,24
7,18,11,25
7,19,12,26
7,20,13,27
7,21,14,28
7,22,15,29
7,23,16,30
7,24,17,31
8,1,-7,9
8,2,-6,10
8,3,-5,11
8,4,-4,12
8,5,-3,13
8,6,-2,14
8,7,-1,15
8,8,0,16
8,9,1,17
8,10,2,18
8,11,3,19
8,12,4,20
8,13,5,21
8,14,6,22
8,15,7,23
8,16,8,24
8,17,9,25
8,18,10,26
8,19,11,27
8,20,12,28
8,21,13,29
8,22,14,30
8,23,15,31
8,24,16,32
8,25,17,33
8,26,18,34
9,1,-8,10
9,2,-7,11
9,3,-6,12
9,4,-5,13
9,5,-4,14
9,6,-3,15
9,7,-2,16
9,8,-1,17
9,9,0,18
9,10,1,19
9,11,2,20
9,12,3,21
9,13,4,22
9,14,5,23
9,15,6,24
9,16,7,25
9,17,8,26
9,18,9,27
9,19,10,28
9,20,11,29
9,21,12,30
9,22,13,31
9,23,14,32
9,24,15,33
9,25,16,34
9,26,17,35
9,27,18,36
9,28,19,37
10,1,-9,11
10,2,-8,12
10,3,-7,13
10,4,-6,14
10,5,-5,15
10,6,-4,16
10,7,-3,17
10,8,-2,18
10,9,-1,19
10,10,0,20
10,11,1,21
10,12,2,22
10,13,3,23
10,14,4,24
10,15,5,25
10,16,6,26
10,17,7,27
10,18,8,28
10,19,9,29
10,20,10,30
10,21,11,31
10,22,12,32
10,23,13,33
10,24,14,34
10,25,15,35
10,26,16,36
10,27,17,37
10,28,18,38
10,29,19,39
11,1,-10,12
11,2,-9,13
11,3,-8,14
11,4,-7,15
11,5,-6,16
11,6,-5,17
11,7,-4,18
11,8,-3,19
11,9,-2,20
11,10,-1,21
11,11,0,22
11,12,1,23
11,13,2,24
11,14,3,25
11,15,4,26
11,16,5,27
11,17,6,28
11,18,7,29
11,19,8,30
11,20,9,31
11,21,10,32
11,22,11,33
11,23,12,34
11,24,13,35
11,25,14,36
11,26,15,37
11,27,16,38
11,28,17,39
11,29,18,40
11,30,19,41
12,1,-11,13
12,2,-10,14
12,3,-9,15
12,4,-8,16
12,5,-7,17
12,6,-6,18
12,7,-5,19
12,8,-4,20
12,9,-3,21
12,10,-2,22
12,11,-1,23
12,12,0,24
12,13,1,25
12,14,2,26
12,15,3,27
12,16,4,28
12,17,5,29
12,18,6,30
12,19,7,31
12,20,8,32
12,21,9,33
12,22,10,34
12,23,11,35
12,24,12,36
12,25,13,37
12,26,14,38
12,27,15,39
12,28,16,40
12,29,17,41
12,30,18,42
12,31,19,43
13,1,-12,14
13,2,-11,15
13,3,-10,16
13,4,-9,17
13,5,-8,18
13,6,-7,19
13,7,-6,20
13,8,-5,21
13,9,-4,22
13,10,-3,23
13,11,-2,24
13,12,-1,25
13,13,0,26
13,14,1,27
13,15,2,28
13,16,3,29
13,17,4,30
13,18,5,31
13,19,6,32
13,20,7,33
13,21,8,34
13,22,9,35
13,23,10,36
13,24,11,37
13,25,12,38
13,26,13,39
13,27,14,40
13,28,15,41
13,29,16,42
13,30,17,43
13,31,18,44
13,32,19,45
14,2,-12,16
14,3,-11,17
14,4,-10,18
14,5,-9,19
14,6,-8,20
14,7,-7,21
14,8,-6,22
14,9,-5,23
14,10,-4,24
14,11,-3,25
14,12,-2,26
14,13,-1,27
14,14,0,28
14,15,1,29
14,16,2,30
14,17,3,31
14,18,4,32
14,19,5,33
14,20,6,34
14,21,7,35
14,22,8,36
14,23,9,37
14,24,10,38
14,25,11,39
14,26,12,40
14,27,13,41
14,28,14,42
14,29,15,43
14,30,16,44
14,31,17,45
14,32,18,46
15,2,-13,17
15,3,-12,18
15,4,-11,19
15,5,-10,20
15,6,-9,21
15,7,-8,22
15,8,-7,23
15,9,-6,24
15,10,-5,25
15,11,-4,26
15,12,-3,27
15,13,-2,28
15,14,-1,29
15,15,0,30
15,16,1,31
15,17,2,32
15,18,3,33
15,19,4,34
15,20,5,35
15,21,6,36
15,22,7,37
15,23,8,38
15,24,9,39
15,25,10,40
15,26,11,41
15,27,12,42
15,28,13,43
15,29,14,44
15,30,15,45
15,31,16,46
15,32,17,47
15,33,18,48
16,3,-13,19
16,4,-12,20
16,5,-11,21
16,6,-10,22
16,7,-9,23
16,8,-8,24
16,9,-7,25
16,10,-6,26
16,11,-5,27
16,12,-4,28
16,13,-3,29
16,14,-2,30
16,15,-1,31
16,16,0,32
16,17,1,33
16,18,2,34
16,19,3,35
16,20,4,36
16,21,5,37
16,22,6,38
16,23,7,39
16,24,8,40
16,25,9,41
16,26,10,42
16,27,11,43
16,28,12,44
16,29,13,45
16,30,14,46
16,31,15,47
16,32,16,48
16,33,17,49
17,3,-14,20
17,4,-13,21
17,5,-12,22
17,6,-11,23
17,7,-10,24
17,8,-9,25
17,9,-8,26
17,10,-7,27
17,11,-6,28
17,12,-5,29
17,13,-4,30
17,14,-3,31
17,15,-2,32
17,16,-1,33
17,17,0,34
17,18,1,35
17,19,2,36
17,20,3,37
17,21,4,38
17,22,5,39
17,23,6,40
17,24,7,41
17,25,8,42
17,26,9,43
17,27,10,44
17,28,11,45
17,29,12,46
17,30,13,47
17,31,14,48
17,32,15,49
17,33,16,50
17,34,17,51
18,4,-14,22
18,5,-13,23
18,6,-12,24
18,7,-11,25
18,8,-10,26
18,9,-9,27
18,10,-8,28
18,11,-7,29
18,12,-6,30
18,13,-5,31
18,14,-4,32
18,15,-3,33
18,16,-2,34
18,17,-1,35
18,18,0,36
18,19,1,37
18,20,2,38
18,21,3,39
18,22,4,40
18,23,5,41
18,24,6,42
18,25,7,43
18,26,8,44
18,27,9,45
18,28,10,46
18,29,11,47
18,30,12,48
18,31,13,49
18,32,14,50
18,33,15,51
18,34,16,52
19,4,-15,23
19,5,-14,24
19,6,-13,25
19,7,-12,26
19,8,-11,27
19,9,-10,28
19,10,-9,29
19,11,-8,30
19,12,-7,31
19,13,-6,32
19,14,-5,33
19,15,-4,34
19,16,-3,35
19,17,-2,36
19,18,-1,37
19,19,0,38
19,20,1,39
19,21,2,40
19,22,3,41
19,23,4,42
19,24,5,43
19,25,6,44
19,26,7,45
19,27,8,46
19,28,9,47
19,29,10,48
19,30,11,49
19,31,12,50
19,32,13,51
19,33,14,52
19,34,15,53
19,35,16,54
20,5,-15,25
20,6,-14,26
20,7,-13,27
20,8,-12,28
20,9,-11,29
20,10,-10,30
20,11,-9,31
20,12,-8,32
20,13,-7,33
20,14,-6,34
20,15,-5,35
20,16,-4,36
20,17,-3,37
20,18,-2,38
20,19,-1,39
20,20,0,40
20,21,1,41
20,22,2,42
20,23,3,43
20,24,4,44
20,25,5,45
20,26,6,46
20,27,7,47
20,28,8,48
20,29,9,49
20,30,10,50
20,31,11,51
20,32,12,52
20,33,13,53
20,34,14,54
20,35,15,55
21,6,-15,27
21,7,-14,28
21,8,-13,29
21,9,-12,30
21,10,-11,31
