hex1_id,hex2_id,L1,L2,L3,L5,Mi1,Mi4,Mi9,C2,C3,Tm1,Tm2,Tm4,Tm9,Tm20,T1,x,y
1,7,94444,110883,164392,203248,74949.0,136972.0,152896.0,146983.0,105202.0,125768.0,118266.0,,162013.0,159141.0,108940.0,6,8
1,8,65625,80370,146392,192440,93321.0,136844.0,165028.0,140185.0,94187.0,108457.0,127544.0,130822.0,152488.0,,75365.0,7,9
1,10,77697,95973,155869,182356,101491.0,145945.0,158838.0,137248.0,87963.0,115490.0,,112432.0,157909.0,,90494.0,9,11
2,5,107494,153022,180780,204708,98563.0,135516.0,191480.0,,120468.0,105917.0,124545.0,,,,96329.0,3,7
2,6,90008,102679,162173,210629,108486.0,128147.0,150055.0,125236.0,106287.0,66958.0,135322.0,104608.0,211898.0,148934.0,100116.0,4,8
2,7,91223,71059,126564,169271,78028.0,122523.0,119221.0,150946.0,103655.0,526549.0,,124756.0,162075.0,152783.0,95526.0,5,9
2,8,61905,63386,122458,168931,83423.0,106767.0,124434.0,119136.0,94103.0,85230.0,102808.0,101762.0,153744.0,140398.0,138798.0,6,10
2,9,56103,51175,107931,170431,79930.0,105380.0,135670.0,158791.0,88716.0,95289.0,94041.0,,140632.0,154553.0,73129.0,7,11
2,10,61335,87031,147082,154992,73240.0,119350.0,149281.0,125193.0,88743.0,95701.0,94527.0,115899.0,159972.0,154860.0,160104.0,8,12
2,11,59572,65277,166491,204668,89532.0,145679.0,155843.0,143332.0,22038.0,107389.0,108525.0,115910.0,155505.0,171480.0,68758.0,9,13
2,12,71110,75482,131950,197045,108302.0,160018.0,160408.0,136731.0,101422.0,110916.0,127662.0,121027.0,171058.0,170248.0,81065.0,10,14
2,13,72846,87871,136836,215683,144511.0,139438.0,159161.0,140872.0,111739.0,107139.0,124698.0,,167109.0,,88175.0,11,15
3,4,94899,104423,156352,216660,151090.0,126563.0,129406.0,131375.0,103671.0,121787.0,112768.0,115302.0,150114.0,,158740.0,1,7
3,5,74247,91773,140948,170042,79418.0,133577.0,134078.0,63213.0,105131.0,103258.0,,110576.0,159356.0,131829.0,75126.0,2,8
3,6,55965,57301,88380,167837,118763.0,106286.0,119557.0,130112.0,95899.0,73596.0,105499.0,108244.0,143028.0,132125.0,57288.0,3,9
3,7,52226,50362,41274,147401,60908.0,93320.0,116362.0,130485.0,83189.0,87580.0,80742.0,103981.0,554447.0,142226.0,56631.0,4,10
